CMDLINE /home/adeeb/miniconda3/envs/tdmpc2/bin/python3.9 train.py task=carla_ obs=rgb checkpoint=/home/adeeb/tdmpc2/tdmpc2/logs/carla_/1/default/models/final.pt
MEM 1.546875 1717012134.4377
MEM 37.535156 1717012134.5380
MEM 83.664062 1717012134.6383
MEM 199.910156 1717012134.7387
MEM 239.468750 1717012134.8390
MEM 287.304688 1717012134.9394
MEM 314.523438 1717012135.0396
MEM 325.566406 1717012135.1399
MEM 336.707031 1717012135.2402
MEM 351.371094 1717012135.3405
MEM 361.863281 1717012135.4408
MEM 373.949219 1717012135.5411
MEM 382.617188 1717012135.6415
MEM 403.777344 1717012135.7418
MEM 463.414062 1717012135.8422
MEM 493.531250 1717012135.9424
MEM 506.421875 1717012136.0426
MEM 510.394531 1717012136.1428
MEM 510.652344 1717012136.2430
MEM 510.910156 1717012136.3432
MEM 511.167969 1717012136.4435
MEM 511.425781 1717012136.5437
MEM 511.425781 1717012136.6439
MEM 511.683594 1717012136.7441
MEM 511.683594 1717012136.8443
MEM 511.683594 1717012136.9444
MEM 511.941406 1717012137.0446
MEM 511.941406 1717012137.1448
MEM 512.199219 1717012137.2450
MEM 515.687500 1717012137.3452
MEM 530.207031 1717012137.4454
MEM 535.187500 1717012137.5456
MEM 545.058594 1717012137.6459
MEM 560.738281 1717012137.7460
MEM 584.632812 1717012137.8463
MEM 588.878906 1717012137.9467
MEM 594.769531 1717012138.0469
MEM 595.703125 1717012138.1474
MEM 595.703125 1717012138.2479
MEM 595.703125 1717012138.3484
MEM 595.703125 1717012138.4488
MEM 595.703125 1717012138.5493
MEM 595.703125 1717012138.6498
MEM 595.703125 1717012138.7502
MEM 595.703125 1717012138.8505
MEM 595.703125 1717012138.9508
MEM 595.703125 1717012139.0512
MEM 595.703125 1717012139.1517
MEM 595.703125 1717012139.2521
MEM 595.703125 1717012139.3523
MEM 595.703125 1717012139.4527
MEM 595.703125 1717012139.5531
MEM 595.703125 1717012139.6535
MEM 595.703125 1717012139.7539
MEM 595.703125 1717012139.8543
MEM 595.703125 1717012139.9546
MEM 595.703125 1717012140.0550
MEM 595.703125 1717012140.1554
MEM 595.703125 1717012140.2558
MEM 595.703125 1717012140.3563
MEM 595.703125 1717012140.4568
MEM 595.703125 1717012140.5571
MEM 595.703125 1717012140.6576
MEM 595.703125 1717012140.7581
MEM 595.703125 1717012140.8584
MEM 595.703125 1717012140.9589
MEM 595.703125 1717012141.0594
MEM 595.703125 1717012141.1599
MEM 595.703125 1717012141.2603
MEM 595.703125 1717012141.3608
MEM 595.703125 1717012141.4612
MEM 595.703125 1717012141.5616
MEM 595.703125 1717012141.6620
MEM 595.703125 1717012141.7624
MEM 595.703125 1717012141.8628
MEM 595.703125 1717012141.9631
MEM 595.703125 1717012142.0633
MEM 595.703125 1717012142.1635
MEM 595.703125 1717012142.2637
MEM 595.703125 1717012142.3640
MEM 595.703125 1717012142.4642
MEM 595.703125 1717012142.5644
MEM 595.703125 1717012142.6649
MEM 595.703125 1717012142.7654
MEM 595.703125 1717012142.8658
MEM 595.703125 1717012142.9661
MEM 595.703125 1717012143.0666
MEM 595.585938 1717012143.1669
MEM 595.597656 1717012143.2672
MEM 592.320312 1717012143.3675
